keyword,title,brand,price,raw_price,rating,reviews,platform,position,delivery,discount_pct,price_range,visibility_score,link,thumbnail,data_source
Bluetooth Speaker,Croma 5W Portable Bluetooth Speaker,Croma,699.0,,4.0,54,Croma,40,Unknown,0.0,Economy (500-2K),0.0,"https://www.google.com/search?ibp=oshop&q=Bluetooth Speaker&prds=catalogid:14491169585700970001,productid:12596264860602283129,headlineOfferDocid:1052470981994122958,imageDocid:3127318328263334528,rds:PC_4830383131205999808|PROD_PC_4830383131205999808,gpcid:4830383131205999808,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR46nJUrQy35bO_h4nwqR3UxfORZAVukUW__os6iLdTadwTA8YQyOPMnAKU0FkOSCGY_L26qWE,api
Headphones,PTron Studio Evo 70hrs Playtime Wireless Over Ear Headphones,PTron,798.0,,4.5,0,Amazon.In,1,Unknown,0.0,Economy (500-2K),0.975,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:5244642302100089331,productid:5641928122817911468,headlineOfferDocid:5941712743786916749,imageDocid:15009445526590657794,gpcid:11201421076575392042,mid:576462846234144775,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRBZxmWbOOc8wejg140v7S5BoqS_woUmU_Pi2ByVNGYslJ7x27TIbdHD7GpI30d_4wDkCH0v_4wuF8bpcnEajAEmOOYjmDiBKxHYckGuHVsJhl_0exN4vlKdQ,api
Headphones,boAt Rockerz 421,Boat,1299.0,,4.2,9,Boat,2,Unknown,0.0,Economy (500-2K),0.95,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:9659503861215775764,productid:3165093661242018394,headlineOfferDocid:18394875372075438204,imageDocid:18353616306450576224,rds:PC_4695473750307814264|PROD_PC_4695473750307814264,gpcid:4695473750307814264,mid:576462834857990303,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRL25_IiR2JcUCJB6rw_HG-GtQZye3YW-6AhSGKtplvA8HGz25xpyQz3fer6l5Myid5lruSxeTm-GE-sNU70disoRXZ6DKWqyeiBq5dLYy-kstwb7U1r-dL,api
Headphones,Noise Airwave Max 4 Wireless Headphone,Noise,1999.0,,4.4,243,Myntra,3,Unknown,0.0,Economy (500-2K),0.925,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:2790655826841347568,productid:1078011361577781801,headlineOfferDocid:15769414654204622076,imageDocid:13159030893461451018,rds:PC_11961187056625121008|PROD_PC_11961187056625121008,gpcid:17465564071721591026,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTujbqoSt7j_lKQhTIS_-F_Qi1OpIv2Q5H2KkerSHWKxYtKMtLdKw_d5LWIjhafNUSPJcPM4Hk0YWgtwYHS67loDLDwUtmlDvB7-R5Un6WKPzbw_kX4uH0LUkA,api
Headphones,"ZEBRONICS Duke Plus, Wireless Over Ear Headphone with ANC, ENC, Gaming Mode, Dual Pairing, Rapid Charge, Upto 70* Hours Backup, Bluetooth v5.4, AUX,",Zebronics,140.0,,4.5,0,Amazon,4,Unknown,0.0,Budget (<500),0.9,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=productid:2130371234978978631,headlineOfferDocid:2130371234978978631,imageDocid:3564454779770880011,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRfGapRivsezs3i_vl0a4kJTjZTKUFWnJiXtuMjRMRwgcGJdKYBnKG0GwNWbKD5oK-dBexlcrlkkXYQnMTYsUfW9us6VssOEG2xEJEE0rnO_3fAUsWdbpU5sw,api
Headphones,boAt Rockerz 480 Wireless Headphone,Boat,1799.0,,4.4,51,Flipkart,5,Unknown,0.0,Economy (500-2K),0.875,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:13125764216556628474,productid:9050886846780043113,headlineOfferDocid:11620892379448262746,imageDocid:16885258800283717085,rds:PC_14006483853361162530|PROD_PC_14006483853361162530,gpcid:6029075892397504127,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRhskF_iKDDRg40qtJI-wa0OBAxb6Izmqa_zo5H0m6XicmJviH2MujOzFw5W_OUt4n8q49J7f6YhJZV18DvWtLaXGftMtZB-Tgrk3TmipabszP5gEgml3a57A,api
Headphones,GOBOult Fluid X Wireless Headphones,GOBOult,1999.0,,4.5,0,Amazon.In,6,Unknown,0.0,Economy (500-2K),0.85,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:11006335128841704296,productid:18084229642482515505,headlineOfferDocid:12097126919400843508,imageDocid:4194437942082443430,gpcid:16247163207050284733,mid:576462544473064539,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQzHLdOMlOF4V3H0qQsL1IN3mh8pmjCbTAMNQO_IwsFCkQI3sqo9IOMoGfMkn4wfeqW84QsGwA1gjB3I9VnqJXWwPkrL1IKTHtZ7BnKzvqmgNkpLJTk4ISs,api
Headphones,Noise Two Wireless Headphones,Noise,1699.0,,4.3,149,Myntra,7,Unknown,0.0,Economy (500-2K),0.825,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:9939402574583139803,productid:9336140541023547556,headlineOfferDocid:17591055269234652157,imageDocid:15258728946122898368,rds:PC_5576928691633531039|PROD_PC_5576928691633531039,gpcid:5576928691633531039,mid:576462887957492327,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR8LW9tkvdL5P-y8328cY-OdRrvaakKKNSdxK06zC7qv4EAMA3QOqY39oUw0WM6AmuM1hsbDKjgZeWcjGeSjDPau-sL1niUnrt61UaY84s158mA4tYIvVAogw,api
Headphones,boAt Rockerz 425 Wireless Bluetooth Headphone,Boat,999.0,,4.2,90,Reliance Digital,8,Unknown,0.0,Economy (500-2K),0.8,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:15677792178289186324,productid:493356682943563467,headlineOfferDocid:7252875254974650908,imageDocid:12832272646372989553,rds:PC_4144497999685096814|PROD_PC_4144497999685096814,gpcid:4144497999685096814,mid:576462477698172695,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR49C6gJNRfdwfljWGd1zGeTX6yUwu5ucU1UYEpu7m2g7bolKydoE1MFqhMQeBO0YmearX_dmsMMfPC5LenelM147ZYdqwFoPRbDZystaLV19c3ksM9nszg,api
Headphones,Marshall Major V On-Ear Wireless Bluetooth Headphones,Marshall,14999.0,,4.8,2600,Flipkart,9,Unknown,0.0,Premium (5K-15K),0.775,"https://www.google.com/search?ibp=oshop&q=Headphones&prds=catalogid:12591377491110455198,productid:6459589627528746343,headlineOfferDocid:13616858835396387681,imageDocid:6500284921018502134,rds:PC_17037438718497244592|PROD_PC_17037438718497244592,gpcid:17037438718497244592,mid:576462782353000565,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQqzE3ctcf7-yjnz94oQekTbJaS6FVOja0p70raa3ZxHvc3wY1wGGpeIev1DgMnxpygpD5d2O_MBK3qIruO72ZQMoTn3e847j3rBcSPPr2797Qs3EoUe1KT,api
